"id","house_id","price","area","rooms","street","website","location"
296,3000553639,2790,42,1.5,"Gujerstrasse 1","https://www.homegate.ch/rent/3000553639","8050 Zurich"
297,3000553645,2790,45,1.5,"Gujerstrasse 1a","https://www.homegate.ch/rent/3000553645","8050 Zurich"
298,3000553647,2790,45,1.5,"Gujerstrasse 1","https://www.homegate.ch/rent/3000553647","8050 Zurich"
299,3000553647,2790,45,1.5,"Gujerstrasse 1","https://www.homegate.ch/rent/3000553647","8050 Zurich"
300,3000645939,2850,45,1.5,"Gujerstrasse 1","https://www.homegate.ch/rent/3000645939","8050 Zurich"
301,3000553600,2850,40,1.5,"Gujerstrasse 1a","https://www.homegate.ch/rent/3000553600","8050 Zurich"
302,3000645921,2850,40,1.5,"Gujerstrasse 1a","https://www.homegate.ch/rent/3000645921","8050 Zurich"
303,3002582647,2870,118,4.5,"Nansenstrasse 7","https://www.homegate.ch/rent/3002582647","8050 Zurich"
304,3002537015,2900,95,2.5,"Leutschenbachstrasse 40","https://www.homegate.ch/rent/3002537015","8050 Zurich"
305,3002417886,3080,60,2.5,"Gubelstrasse 64","https://www.homegate.ch/rent/3002417886","8050 Zurich"
306,3002546293,3150,144,5.0,"Margrit Rainer-Str. 17","https://www.homegate.ch/rent/3002546293","8050 Zurich"
307,3001683346,3200,75,3.0,"Friesstrasse 12","https://www.homegate.ch/rent/3001683346","8050 Zurich"
308,3001683389,3400,70,3.0,"Friesstrasse 12","https://www.homegate.ch/rent/3001683389","8050 Zurich"
309,3002433345,3435,105,3.5,"Guetliweg 6","https://www.homegate.ch/rent/3002433345","8050 Zurich"
310,3000645996,3450,52,2.5,"Gujerstrasse 1a","https://www.homegate.ch/rent/3000645996","8050 Zurich"
